"game_id","exposure","outcome","field_location","wind_new","temp_new","surface_new","roof_new","def_team_rating","off_team_rating","spread_line_new"
"2011_01_IND_HOU",1,0,0,"4",84,1,1,1,2,-9
"2011_05_KC_IND",1,0,1,"1",72,0,1,1,2,1
"2011_08_IND_TEN",1,0,0,"0",62,1,1,1,2,-9
"2011_10_JAX_IND",1,0,1,"20",62,0,0,1,2,-3
"2011_12_CAR_IND",1,0,1,"7",45,0,0,2,2,-3.5
"2011_14_IND_BAL",1,0,0,"2",43,0,1,1,2,-16.5
"2011_17_IND_JAX",1,0,0,"10",70,1,1,1,2,-3
"2011_02_CLE_IND",0,0,1,"9",65,0,0,1,2,-1
"2011_03_PIT_IND",0,0,1,"7",57,0,0,1,2,-10.5
"2011_06_IND_CIN",0,0,0,"16",71,0,1,1,2,-5
"2011_07_IND_NO",0,0,0,"8",75,0,0,2,2,-13.5
"2011_09_ATL_IND",0,0,1,"15",57,0,1,2,2,-6.5
"2011_13_IND_NE",0,0,0,"10",51,0,1,1,2,-20.5
"2011_15_TEN_IND",0,1,1,"9",41,0,0,1,2,-6.5
"2011_16_HOU_IND",0,1,1,"2",42,0,0,1,2,-7
"2012_01_IND_CHI",1,0,0,"13",67,1,1,1,2,-10
"2012_05_GB_IND",1,1,1,"8",48,0,0,1,2,-6.5
"2012_07_CLE_IND",1,1,1,"9",60,0,1,2,2,1
"2012_08_IND_TEN",1,1,0,"18",52,1,1,2,2,-3.5
"2012_10_IND_JAX",1,1,0,"0",50,1,1,2,2,3
"2012_02_MIN_IND",0,1,1,"7",72,0,1,1,2,-3
"2012_03_JAX_IND",0,0,1,"10",59,0,1,2,2,3
"2012_06_IND_NYJ",0,0,0,"14",65,0,1,2,2,-3.5
"2012_09_MIA_IND",0,1,1,"9",44,0,0,1,2,-2.5
"2012_11_IND_NE",0,0,0,"14",42,0,1,1,2,-10
"2012_12_BUF_IND",0,1,1,"10",45,0,0,2,2,2
"2012_14_TEN_IND",0,1,1,"6",48,0,0,2,2,3.5
"2012_15_IND_HOU",0,0,0,"15",63,1,0,1,2,-10.5
"2012_16_IND_KC",0,1,0,"6",25,1,1,2,2,4.5
"2012_17_HOU_IND",0,1,1,"6",20,0,0,1,2,-6.5
"2013_01_OAK_IND",1,1,1,"3",88,0,0,2,1,11
"2013_02_MIA_IND",1,0,1,"9",72,0,1,1,1,1
"2013_10_STL_IND",1,0,1,"11",45,0,0,1,1,7.5
"2013_13_TEN_IND",1,1,1,"7",51,0,0,1,1,3.5
"2013_15_HOU_IND",1,1,1,"13",20,0,0,2,1,6
"2013_16_IND_KC",1,1,0,"10",22,1,1,1,1,-7.5
"2013_17_JAX_IND",1,1,1,"13",43,0,0,2,1,11
"2013_03_IND_SF",0,1,0,"5",66,1,1,1,1,-10.5
"2013_04_IND_JAX",0,1,0,"12",80,1,1,2,1,9.5
"2013_05_SEA_IND",0,1,1,"6",56,0,0,1,1,-3
"2013_06_IND_SD",0,0,0,"13",69,1,1,1,1,1
"2013_07_DEN_IND",0,1,1,"11",57,0,1,2,1,-6
"2013_09_IND_HOU",0,1,0,"6",60,1,0,2,1,1
"2013_11_IND_TEN",0,1,0,"3",44,1,1,1,1,2.5
"2013_14_IND_CIN",0,0,0,"7",25,0,1,1,1,-7
"2014_01_IND_DEN",1,0,0,"6",75,1,1,2,1,-8
"2014_02_PHI_IND",1,0,1,"5",57,0,0,2,1,3
"2014_03_IND_JAX",1,1,0,"5",85,1,1,2,1,6
"2014_05_BAL_IND",1,1,1,"14",53,0,1,1,1,2.5
"2014_11_NE_IND",1,0,1,"4",31,0,0,1,1,3
"2014_14_IND_CLE",1,1,0,"10",37,1,1,1,1,3
"2014_17_IND_TEN",1,1,0,"6",40,1,1,2,1,7.5
"2014_04_TEN_IND",0,1,1,"4",78,0,1,2,1,7.5
"2014_06_IND_HOU",0,1,0,"15",83,1,0,1,1,2.5
"2014_07_CIN_IND",0,1,1,"6",49,0,1,1,1,3
"2014_08_IND_PIT",0,0,0,"12",62,1,1,2,1,5
"2014_09_IND_NYG",0,1,0,"6",55,0,1,2,1,3
"2014_12_JAX_IND",0,1,1,"8",50,0,0,2,1,13
"2014_13_WAS_IND",0,1,1,"25",63,0,0,2,1,7.5
"2014_15_HOU_IND",0,1,1,"7",44,0,0,1,1,7
"2015_01_IND_BUF",1,0,0,"15",56,0,1,1,2,1
"2015_03_IND_TEN",1,1,0,"3",74,1,1,2,2,3
"2015_05_IND_HOU",1,1,0,"4",83,0,0,1,2,-4.5
"2015_06_NE_IND",1,0,1,"4",52,0,0,1,2,-8
"2015_08_IND_CAR",1,0,0,"7",60,1,1,1,2,-5
"2015_13_IND_PIT",1,0,0,"2",37,1,1,1,2,-10
"2015_14_IND_JAX",1,0,0,"5",79,1,1,2,2,-1
"2015_02_NYJ_IND",0,0,1,"7",69,0,0,1,2,6
"2015_04_JAX_IND",0,1,1,"9",62,0,1,2,2,4
