"game_id","exposure","outcome","field_location","wind_new","temp_new","surface_new","roof_new","def_team_rating","off_team_rating","spread_line_new"
"2011_02_JAX_NYJ",1,0,0,12,66,0,1,2,2,-9
"2011_03_JAX_CAR",1,0,0,4,75,1,1,2,2,-3.5
"2011_04_NO_JAX",1,0,1,5,71,1,1,2,2,-9
"2011_06_JAX_PIT",1,0,0,10,58,1,1,1,2,-12.5
"2011_07_BAL_JAX",1,1,1,0,60,1,1,1,2,-10
"2011_08_JAX_HOU",1,0,0,4,68,1,1,1,2,-10
"2011_12_HOU_JAX",1,0,1,10,75,1,1,1,2,-6
"2011_13_SD_JAX",1,0,1,6,67,1,1,2,2,-3
"2011_16_JAX_TEN",1,0,0,2,44,1,1,1,2,-8.5
"2011_17_IND_JAX",1,1,1,10,70,1,1,2,2,3
"2011_01_TEN_JAX",0,1,1,5,87,1,1,1,2,-1
"2011_05_CIN_JAX",0,0,1,15,79,1,1,1,2,-1
"2011_10_JAX_IND",0,1,0,20,62,0,0,2,2,3
"2011_11_JAX_CLE",0,0,0,15,57,1,1,1,2,-1
"2011_14_TB_JAX",0,1,1,12,58,1,1,2,2,-3
"2012_04_CIN_JAX",1,0,1,7,86,1,1,1,2,1
"2012_07_JAX_OAK",1,0,0,11,62,1,1,2,2,-6
"2012_08_JAX_GB",1,0,0,10,44,1,1,1,2,-15
"2012_09_DET_JAX",1,0,1,10,81,1,1,2,2,-6
"2012_10_IND_JAX",1,0,1,0,50,1,1,2,2,-3
"2012_11_JAX_HOU",1,0,0,7,70,1,0,1,2,-15
"2012_12_TEN_JAX",1,1,1,4,60,1,1,2,2,-3.5
"2012_13_JAX_BUF",1,0,0,17,52,0,1,2,2,-6
"2012_14_NYJ_JAX",1,0,1,10,67,1,1,2,2,-3
"2012_15_JAX_MIA",1,0,0,13,80,1,1,1,2,-7.5
"2012_16_NE_JAX",1,0,1,0,58,1,1,1,2,-14
"2012_17_JAX_TEN",1,0,0,4,39,1,1,2,2,-6
"2012_02_HOU_JAX",0,0,1,5,83,1,1,1,2,-6.5
"2012_03_JAX_IND",0,1,0,10,59,0,1,2,2,-3
"2012_05_CHI_JAX",0,0,1,3,88,1,1,1,2,-6
"2013_01_KC_JAX",1,0,1,10,85,1,1,1,2,-3.5
"2013_02_JAX_OAK",1,0,0,10,76,1,1,2,2,-3.5
"2013_03_JAX_SEA",1,0,0,17,61,0,1,1,2,-19.5
"2013_04_IND_JAX",1,0,1,12,80,1,1,1,2,-9.5
"2013_06_JAX_DEN",1,0,0,7,59,1,1,2,2,-27
"2013_07_SD_JAX",1,0,1,12,73,1,1,1,2,-7.5
"2013_08_SF_JAX",1,0,1,13,60,1,1,1,2,-16
"2013_11_ARI_JAX",1,0,1,8,76,1,1,1,2,-9.5
"2013_12_JAX_HOU",1,1,0,15,45,1,0,2,2,-10.5
"2013_15_BUF_JAX",1,0,1,20,60,1,1,2,2,-4
"2013_16_TEN_JAX",1,0,1,13,79,1,1,1,2,-4
"2013_17_JAX_IND",1,0,0,13,43,0,0,1,2,-11
"2013_10_JAX_TEN",0,1,0,6,62,1,1,1,2,-11.5
"2013_13_JAX_CLE",0,1,0,7,40,1,1,2,2,-7.5
"2013_14_HOU_JAX",0,1,1,7,72,1,1,2,2,-3
"2014_01_JAX_PHI",1,0,0,9,75,1,1,2,2,-10
"2014_02_JAX_WAS",1,0,0,6,65,1,1,2,2,-5
"2014_04_JAX_SD",1,0,0,8,73,1,1,1,2,-13
"2014_05_PIT_JAX",1,0,1,10,71,1,1,2,2,-6
"2014_08_MIA_JAX",1,0,1,6,76,1,1,2,2,-7
"2014_10_DAL_JAX",1,0,1,3,50,1,1,1,2,-7.5
"2014_12_JAX_IND",1,0,0,8,50,0,0,2,2,-13
"2014_14_HOU_JAX",1,0,1,15,61,1,1,1,2,-6.5
"2014_15_JAX_BAL",1,0,0,3,47,0,1,1,2,-14
"2014_17_JAX_HOU",1,0,0,11,43,1,0,1,2,-8.5
"2014_03_IND_JAX",0,0,1,5,85,1,1,2,2,-6
"2014_06_JAX_TEN",0,0,0,7,67,1,1,2,2,-4
"2014_07_CLE_JAX",0,1,1,8,76,1,1,1,2,-4
"2014_09_JAX_CIN",0,0,0,3,42,0,1,1,2,-10
"2014_13_NYG_JAX",0,1,1,5,71,1,1,2,2,-3
"2014_16_TEN_JAX",0,1,1,2,58,1,1,2,2,4
"2015_01_CAR_JAX",1,0,1,7,77,1,1,1,1,-3
"2015_03_JAX_NE",1,0,0,6,68,0,1,1,1,-14.5
"2015_05_JAX_TB",1,0,0,9,84,1,1,2,1,-1
"2015_06_HOU_JAX",1,0,1,18,73,1,1,1,1,2.5
"2015_07_BUF_JAX",1,1,1,2,48,1,1,1,1,-3.5
"2015_12_SD_JAX",1,0,1,8,75,1,1,2,1,5
"2015_13_JAX_TEN",1,0,0,1,56,1,1,2,1,-3
"2015_14_IND_JAX",1,1,1,5,79,1,1,2,1,1
"2015_15_ATL_JAX",1,0,1,8,65,1,1,1,1,2
"2015_17_JAX_HOU",1,0,0,6,55,0,0,1,1,-5
"2015_02_MIA_JAX",0,1,1,5,87,1,1,2,1,-5
"2015_04_JAX_IND",0,0,0,9,62,0,1,2,1,-4
"2015_09_JAX_NYJ",0,0,0,10,56,0,1,1,1,-7.5
"2015_10_JAX_BAL",0,1,0,10,60,0,1,2,1,-4
"2015_11_TEN_JAX",0,1,1,5,75,1,1,2,1,3
"2015_16_JAX_NO",0,0,0,19,78,0,0,2,1,-2.5
"2016_01_GB_JAX",1,0,1,3,90,1,1,2,2,-3.5
"2016_02_JAX_SD",1,0,0,7,82,1,1,2,2,-3
"2016_04_IND_JAX",1,1,1,7,59,1,1,2,2,1
"2016_08_JAX_TEN",1,0,0,3,71,1,1,2,2,-3
"2016_09_JAX_KC",1,0,0,7,62,1,1,1,2,-7
"2016_10_HOU_JAX",1,0,1,10,69,1,1,1,2,3
"2016_12_JAX_BUF",1,0,0,13,42,0,1,1,2,-8.5
"2016_13_DEN_JAX",1,0,1,10,70,1,1,1,2,-3.5
"2016_14_MIN_JAX",1,0,1,5,71,1,1,1,2,-3
"2016_15_JAX_HOU",1,0,0,19,37,0,0,1,2,-3.5
"2016_03_BAL_JAX",0,0,1,8,88,1,1,1,2,-1
"2016_06_JAX_CHI",0,1,0,7,69,1,1,2,2,-2.5
"2016_07_OAK_JAX",0,0,1,6,70,1,1,2,2,1.5
"2016_16_TEN_JAX",0,1,1,5,67,1,1,2,2,-4
"2016_17_JAX_IND",0,0,0,6,39,0,0,2,2,-5.5
