"game_id","exposure","outcome","field_location","wind_new","temp_new","surface_new","roof_new","def_team_rating","off_team_rating","spread_line_new"
"2011_03_KC_SD",1,0,0,8,67,1,1,2,2,-14
"2011_09_MIA_KC",1,0,1,12,62,1,1,1,2,5
"2011_10_DEN_KC",1,0,1,15,67,1,1,2,2,3
"2011_11_KC_NE",1,0,0,2,33,0,1,1,2,-17
"2011_12_PIT_KC",1,0,1,5,32,1,1,1,2,-10.5
"2011_13_KC_CHI",1,1,0,17,46,1,1,1,2,-9
"2011_14_KC_NYJ",1,0,0,5,37,0,1,2,2,-10.5
"2011_15_GB_KC",1,1,1,10,50,1,1,2,2,-11
"2011_16_OAK_KC",1,0,1,7,38,1,1,2,2,3
"2011_04_MIN_KC",0,1,1,7,65,1,1,2,2,-3
"2011_05_KC_IND",0,1,0,1,72,0,1,2,2,-1
"2011_07_KC_OAK",0,1,0,6,79,1,1,2,2,-3.5
"2011_17_KC_DEN",0,1,0,6,35,1,1,2,2,-1
"2012_03_KC_NO",1,1,0,6,84,0,0,2,2,-9
"2012_06_KC_TB",1,0,0,9,85,1,1,2,2,-5
"2012_10_KC_PIT",1,0,0,16,45,1,1,1,2,-12.5
"2012_11_CIN_KC",1,0,1,15,59,1,1,1,2,-3
"2012_13_CAR_KC",1,1,1,0,61,1,1,2,2,-5
"2012_14_KC_CLE",1,0,0,5,44,1,1,2,2,-7
"2012_15_KC_OAK",1,0,0,2,54,1,1,2,2,-4.5
"2012_16_IND_KC",1,0,1,6,25,1,1,2,2,-4.5
"2012_01_ATL_KC",0,0,1,7,69,1,1,1,2,-1
"2012_02_KC_BUF",0,0,0,11,66,0,1,2,2,-3
"2012_04_SD_KC",0,0,1,0,67,1,1,1,2,-2.5
"2012_05_BAL_KC",0,0,1,0,47,1,1,1,2,-6
"2012_08_OAK_KC",0,0,1,3,50,1,1,2,2,1
"2012_09_KC_SD",0,0,0,12,63,1,1,1,2,-7.5
"2012_12_DEN_KC",0,0,1,5,52,1,1,1,2,-10
"2012_17_KC_DEN",0,0,0,10,35,1,1,1,2,-17
"2013_03_KC_PHI",1,1,0,4,73,1,1,2,1,-3
"2013_07_HOU_KC",1,1,1,15,70,1,1,2,1,7
"2013_11_KC_DEN",1,0,0,6,43,1,1,2,1,-7.5
"2013_13_DEN_KC",1,0,1,4,55,1,1,2,1,-5
"2013_14_KC_WAS",1,1,0,10,30,1,1,2,1,3.5
"2013_15_KC_OAK",1,1,0,6,64,1,1,2,1,6.5
"2013_16_IND_KC",1,0,1,10,22,1,1,1,1,7.5
"2013_17_KC_SD",1,0,0,1,73,1,1,1,1,-15.5
"2013_01_KC_JAX",0,1,0,10,85,1,1,2,1,3.5
"2013_02_DAL_KC",0,1,1,6,72,1,1,2,1,3
"2013_04_NYG_KC",0,1,1,0,66,1,1,2,1,3.5
"2013_05_KC_TEN",0,1,0,10,74,1,1,1,1,2.5
"2013_06_OAK_KC",0,1,1,7,63,1,1,2,1,7.5
"2013_08_CLE_KC",0,1,1,4,52,1,1,2,1,7
"2013_09_KC_BUF",0,1,0,7,36,0,1,2,1,4.5
"2013_12_SD_KC",0,0,1,3,24,1,1,1,1,3.5
"2014_01_TEN_KC",1,0,1,7,69,1,1,2,1,3
"2014_02_KC_DEN",1,0,0,7,85,1,1,2,1,-13
"2014_03_KC_MIA",1,1,0,4,88,1,1,2,1,-6
"2014_10_KC_BUF",1,1,0,10,42,0,1,1,1,-2
"2014_12_KC_OAK",1,0,0,6,57,1,1,2,1,7.5
"2014_13_DEN_KC",1,0,1,18,27,1,1,2,1,1
"2014_16_KC_PIT",1,0,0,1,36,1,1,2,1,-2.5
"2014_04_NE_KC",0,1,1,3,82,1,1,1,1,-3
"2014_05_KC_SF",0,0,0,1,85,1,1,1,1,-4
"2014_07_KC_SD",0,1,0,2,75,1,1,1,1,-3
"2014_08_STL_KC",0,1,1,8,70,1,1,1,1,7.5
"2014_09_NYJ_KC",0,1,1,20,57,1,1,2,1,9.5
"2014_11_SEA_KC",0,1,1,8,21,1,1,1,1,-1
"2014_15_OAK_KC",0,1,1,16,58,1,1,2,1,11
"2014_17_SD_KC",0,1,1,7,31,1,1,1,1,3
"2015_03_KC_GB",1,0,0,5,67,1,1,1,1,-4.5
"2015_06_KC_MIN",1,0,0,10,54,0,1,1,1,-3.5
"2015_10_KC_DEN",1,1,0,5,64,1,1,1,1,-4
"2015_11_KC_SD",1,1,0,4,87,1,1,2,1,3
"2015_16_CLE_KC",1,1,1,16,36,1,1,2,1,11.5
"2015_17_OAK_KC",1,1,1,9,37,1,1,2,1,6.5
"2015_01_KC_HOU",0,1,0,10,80,1,0,1,1,1
"2015_02_DEN_KC",0,0,1,13,87,1,1,1,1,3
"2015_04_KC_CIN",0,0,0,5,68,0,1,1,1,-3.5
"2015_05_CHI_KC",0,0,1,10,72,1,1,2,1,10
"2015_07_PIT_KC",0,1,1,7,58,1,1,1,1,4
"2015_08_DET_KC",0,1,1,2,50,1,1,2,1,3
"2015_12_BUF_KC",0,1,1,7,35,1,1,1,1,4.5
"2015_13_KC_OAK",0,1,0,3,57,1,1,2,1,3
"2015_14_SD_KC",0,1,1,14,61,1,1,2,1,11.5
